Id,Number,State,Created At,Closed At,Created-Closed Time Difference(Days),Merged At,Username
32801832,78,closed,1428438286,1428438292,6.94E-05,1428438292,user1
32798022,77,closed,1428435643,1428435651,9.26E-05,1428435651,user1
32784100,76,closed,1428426116,1428426119,3.47E-05,1428426119,user2
32725147,75,closed,1428367961,1428367980,0.000219907,1428367979,user1
32724573,73,closed,1428367163,1428367203,0.000462963,1428367203,user2
32715663,70,closed,1428357518,1428357538,0.000231481,1428357538,user1
32661547,69,closed,1428295096,1428295101,5.79E-05,1428295101,user2
32656829,68,closed,1428279258,1428279265,8.10E-05,1428279265,user2
32379219,67,closed,1427847798,1427847809,0.000127315,1427847809,user2
32277318,66,closed,1427757539,1427769647,0.140138889,1427769647,user3
32277103,65,closed,1427757315,1427757320,5.79E-05,1427757320,user3
32170147,64,closed,1427572521,1427572526,5.79E-05,1427572526,user3
31961419,63,closed,1427314556,1427314563,8.10E-05,1427314563,user3
31840773,59,closed,1427212766,1427212802,0.000416667,1427212802,user2
31787110,56,closed,1427156317,1427156326,0.000104167,1427156326,user3
31699497,55,closed,1427073525,1427073924,0.004618056,1427073924,user1
31671739,54,closed,1426946937,1426946975,0.000439815,1426946975,user3
31308200,49,closed,1426569848,1426569859,0.000127315,1426569859,user2
30710136,46,closed,1425765530,1425765534,4.63E-05,1425765534,user3
30707132,45,closed,1425753627,1425753633,6.94E-05,1425753633,user1
30705038,44,closed,1425745575,1425745579,4.63E-05,1425745579,user3
30426670,42,closed,1425428025,1425428030,5.79E-05,1425428030,user3
30347633,40,closed,1425360461,1425360467,6.94E-05,1425360467,user3
30234928,39,closed,1425174122,1425174127,5.79E-05,1425174127,user2
30200655,38,closed,1425070956,1425169493,1.140474537,1425169493,user1
30049601,37,closed,1424924065,1424924074,0.000104167,1424924074,user3
30039096,34,closed,1424909521,1424909532,0.000127315,1424909532,user3
29958482,29,closed,1424834809,1424834817,9.26E-05,1424834817,user3
29956566,28,closed,1424831569,1424831575,6.94E-05,1424831575,user2
29955106,27,closed,1424829475,1424829503,0.000324074,1424829503,user2
29950870,25,closed,1424824484,1424824494,0.000115741,1424824494,user2
29877502,24,closed,1424765009,1424765022,0.000150463,1424765022,user1
29787209,23,closed,1424669716,1424669731,0.000173611,1424669731,user2
29783102,22,closed,1424659030,1424659041,0.000127315,1424659041,user3
29781736,21,closed,1424655156,1424655165,0.000104167,1424655165,user1
29781260,20,closed,1424653830,1424653890,0.000694444,1424653890,user1
29778781,19,closed,1424645778,1424645804,0.000300926,1424645804,user3
